Gene.symbol logFC
CCDC169 4.04
ZBED6 -3.24
EDN3 -3.63
SERPINE1 2.15
TEX35 2.32
HAPLN1 1.96
PHLDA1 -2.01
SERPINE1 3.01
EDN1 2.44
HS6ST1 1.58
ALKBH7 1.58
SNTN 3.30
IDH1 -2.23
INHBA 1.95
TIMP3 1.80
CLDN18 2.21
PDCD1LG2 3.90
ITGA5 1.93
CREM -1.67
GREM1 1.47
LOX 1.64
HAPLN1 1.75
ADGRE5 1.60
API5 -1.54
PRDX2 -1.47
CSF2 2.01
PDLIM7 1.55
SHISA3 -1.64
TGFB2 1.51
TIMP3 1.94
COL4A1 1.66
MFAP5 1.97
IGHG1 3.29
HAPLN1 2.01
ATP5O -1.90
KCNJ16 -2.01
EDN1 2.31
UQCRB -1.94
ITGA4 1.46
NT5E 1.45
CFAP97 -1.37
CYP1B1 1.36
CD44 1.38
SPOCD1 1.74
ADAMTS15 1.69
SPN 1.28
TIMP3 1.31
LOXL2 1.41
PODXL 1.26
FAP 1.74
DNAH1 -2.68
CLDN1 1.69
GPX3 -1.35
MIR100HG 1.36
SERPINE1 1.87
IKBIP 1.42
TTC33 -1.43
RHBDL2 1.41
KCP 2.36
FRAS1 2.78
CD44 1.25
CCDC80 1.49
PTHLH 2.67
TBC1D1 -2.92
ADRB2 1.58
EPHA4 -1.24
EPHA4 -1.40
INHBA 2.22
LOX 2.01
NRP2 1.34
LAMB3 1.86
ACTA2 1.43
CSPG4 1.83
ADAM12 1.71
KLHL24 -1.78
FAM86B3P 4.35
CSF1 1.36
TIMP3 1.57
PAPPA 1.53
MMP7 1.39
GLIPR1 1.47
GMFB -1.32
SUGT1 -1.31
PLAT 1.30
SLC39A14 1.19
ATP5L -1.38
MEGF10 2.02
TNFRSF19 -1.55
IL4I1 1.47
LOC101929517 2.64
CLSPN 2.84
MTHFD2L 1.58
FHAD1 -3.07
SLC1A5 1.19
ITGB8 1.31
IL6ST -1.26
STON1 -1.49
SLC25A46 -1.21
LSM5 -1.61
FBN1 1.33
COL4A2 1.34
SLCO4A1 1.29
SMARCE1 -1.24
VAV3 -1.18
KIAA1143 -1.34
FBN1 1.39
MIR4680///PDCD4 -1.25
CYP4X1 -1.17
LDLR 1.53
SRPX2 1.18
TNFRSF19 -1.45
CSPG4P1Y 1.50
PAPPA 1.51
EPHB2 1.23
DYNLT3 -1.42
SLC44A2 1.80
CD44 1.22
DKFZP761C1711 3.23
LINC00996 3.23
EMP1 1.21
CALD1 1.54
EGFR 1.23
EYA4 -1.17
CNGB1 2.77
CDH2 1.25
NT5E 1.26
PMP22 1.52
ZNF423 -1.23
IL7R 1.37
CXCL1 1.30
SLC7A5 1.44
FGFR1 1.15
FURIN 1.19
TCL6 -2.43
DKK1 1.38
PHLDA1 -1.37
F2RL1 1.35
ATP5L -1.41
TIA1 -1.07
NTN1 1.21
ERICH1 2.19
FADS3 1.04
EPHB2 1.52
LRRC17 1.18
C8G 2.40
CARNMT1 -1.11
FLNB 1.33
CSPG4 1.59
PAX9 -1.18
MAP1LC3B -1.23
SPATA9 -1.41
TGFB2 1.42
GAL 1.39
TSHZ2 -1.13
CALD1 1.65
RAB30 -1.06
ADH5 -1.29
MIR146A 1.56
PIEZO1 1.57
NRP2 1.89
TRIO 1.10
B4GALNT1 1.04
MGC12916 1.81
ERVFRD-1 1.00
KRT40 1.00
SPATA31E1 1.00
TNNI2 1.00
ALPI 1.00
FOXE1 1.00
KRT33A 1.00
KDF1 1.00
LOC100126784 1.00
MUSK 1.00
RPLP1 1.00
PVT1 -1.48
PDLIM7 1.59
GAS6 1.14
SUGT1 -1.28
SLC1A4 1.25
ATMIN -1.29
DBT -1.21
ID2 -1.07
GBGT1 1.16
FES 3.03
KRAS -1.25
MCAM 1.03
ID4 -1.39
GPX3 -1.45
FDFT1 1.16
PTHLH 1.80
MIR4680///PDCD4 -1.31
RHOB -1.36
CD6 -2.01
CHST3 1.12
CSN3 1.54
TENM2 1.54
JAG1 1.42
LOX 1.43
ABCD3 -1.15
BNIP3L -1.03
CCDC93 1.11
COL6A2 1.14
UGT1A3///UGT1A1///UGT1A9///UGT1A5///UGT1A8 1.26
SH3BGRL -1.04
RAB3C -1.63
NAMPT -1.30
MAMDC2 1.43
ZNF664-FAM101A///FAM101A 1.22
CD44 1.27
TAGLN 1.59
QKI -1.46
CRISPLD2 1.43
SH3GLB1 -1.10
SUCLG2 -1.00
LOC100128079 2.98
FGF21 2.77
VLDLR 1.24
SERPINE2 1.12
PHLDA1 -1.62
L1TD1 3.44
AXL 1.04
MIR155///MIR155HG 1.58
SAMHD1 -1.46
VAMP5 -1.72
THBS1 1.04
BMP5 1.20
SEC62 -1.21
SLC52A2 1.29
SESN3 -2.28
B4GALT3 2.16
EFHD1 -1.78
COL13A1 1.98
SESN3 -1.94
ABCC3 2.71
TAF9B -9.86e-01
COX15 -2.03
CD44 1.24
LMNB1 -1.12
SLC43A3 1.11
HIST2H2AA4///HIST2H2AA3 -1.04
ANAPC13 -1.01
RAB3GAP2///AURKAPS1 -9.49e-01
COL4A1 1.19
GREM1 1.38
SLC7A1 1.40
GAS1 -1.21
SIRPA 1.21
CDC42BPB 1.13
COMMD3-BMI1///BMI1 -1.20
SH3TC1 1.24
PPP6C -1.29
PGM2L1 -1.24
CHST11 1.26
INHBA 1.41
PDE5A -1.30
FBN1 1.27
ID4 -1.45
TRAM2 1.33
SLC16A9 1.21
ABCA1 1.18
MAPRE1 -1.06
DIO2 -1.33
GFPT2 1.40
RASA3 -2.29
PHLDA1 -1.41
SOX2 -1.37
IGF1R 1.21
ATP2B1 1.05
SUB1 -1.28
RAB2A -1.08
MICB 1.20
LOC102725271///NTM 1.17
LCP1 1.73
COL27A1 1.36
CHMP2B -1.05
SLC5A6 1.06
RPL22 -1.21
SOX6 -1.21
MARCKS -9.61e-01
SKIV2L2 -1.07
FAM132A 1.52
MIR452///MIR224///GABRE 1.07
ADCY8 -2.15
COL5A1 1.13
BDKRB2 1.04
PCDH8 -1.18
CYP1B1 1.15
MIR1908///FADS1 1.03
LOC100507472///PCSK6 2.80
AFF3 9.45e-01
FAM57A 1.12
SFXN1 -1.31
BRINP2 2.68
SPOCD1 1.52
DEGS1 9.69e-01
PLAUR 1.04
EPHA2 1.27
PTHLH 2.60
KLHL11 -9.09e-01
SUN2 9.38e-01
PHACTR2 -1.26
MVP -1.09
CXCR4 1.36
ZFAND5 1.29
STX1A 1.35
TMEM62 1.19
MIR6756///MCAM 1.17
MKX -9.21e-01
NPC1 9.75e-01
RRBP1 1.22
SPOPL -1.08
CABLES1 2.41
PCSK9 1.53
TMEM176B -2.02
CREM -1.13
ATP6V1C1 -1.37
VEGFC 1.13
NRP2 1.45
